"Country","beds","HealthPosts","HealthCenters","RuralHospitals","ProvHospitals","SpecHospitals","Hospitals","Revenue","Expenditure","Surplus","SurplusPercent","ihdi","hdi","pbi","CorporatePercent","IncomeHighPercent","VATpercent","Domestic_general_government_health_expenditure","Current_health_expenditure","Out_of_pocket_health_expenditure","UHC_service_coverage_index","GovernmentHealthExp.P.C","cases","deads","mortality","deadsPER100k","doctors_density","nursing_density"
"Mozambique",0.7,NA,NA,NA,NA,NA,NA,2758,3607,-849,-6.9,0.309,0.446,3.709e+10,NA,NA,NA,29.8636168241501,4.94119822978973,7.39533454179764,46,6,10088,72,0.7,0.24,0.08,0.6842
"Namibia",2.7,12.76,2.3,1.3,0.17,0.43,1.91,3967,4759,-792,-6.3,0.418,0.645,2.66e+10,32,"37","15",46.1430639028549,8.55095684528351,7.73419514298439,62,206,11989,129,1.1,5.27,0.59,2.0199
"Nepal",0.3,2.51,0.72,0.23,0.1,0.04,0.38,6993,8833,-1840,NA,0.43,0.579,7.919e+10,30,"36","13",22.3403111100197,5.55329509079456,57.7985525131226,48,11,111802,645,0.6,2.3,0.91,2.8479
"Netherlands",3.3,NA,NA,NA,NA,0.76,0.76,344800,340200,4600,0.6,0.87,0.933,9.244e+11,25,"49.50","21",64.3979668617249,10.1008348166943,11.0869333148003,86,4334,187138,6654,3.6,38.62,3.61,11.1839
"New Zealand",2.7,NA,NA,NA,NA,NA,NA,73200,71900,1300,0.7,0.836,0.921,1.89e+11,28,"33","15",75.4573822021484,9.1700553894043,13.5770738124847,87,2971,1872,25,1.3,0.51,3.47,12.3207
"Nicaragua",0.9,14.64,2.6,0.43,0.43,0.1,0.95,3800,4074,-274,-2,0.501,0.651,3.64e+10,NA,NA,NA,58.0851316452026,8.64546522498131,32.5990498065948,73,112,5264,153,2.9,2.37,1.01,1.5524
"Norway",3.6,NA,NA,NA,NA,NA,NA,214300,198000,16300,4.2,0.889,0.954,3.812e+11,23,"23","25",85.4730546474457,10.4463420808315,14.1772866249084,87,6783,15639,276,1.8,5.19,2.83,18.1559
"Oman",1.5,2.78,2.04,0.96,0.28,0.11,1.35,22680,32070,-9390,-13,0.732,0.834,1.901e+11,15,"0","0",87.7427697181702,3.849071636796,6.69259130954742,69,516,106575,1046,1,21.66,1.96,4.2731
"Pakistan",0.6,2.98,0.83,0.35,0.08,0.1,0.53,45640,59280,-13640,-4.5,0.386,0.56,1.061e+12,31,"31","17",31.5850645303726,2.89863366633654,60.2368772029877,45,14,319848,6588,2.1,3.1,1,0.5986
"Panama",2.3,12.42,10.04,0.39,0.34,0.18,0.91,12600,13560,-960,-1.6,0.626,0.795,1.041e+11,25,"27","7",59.9185585975647,7.31949135661125,33.2700669765472,79,666,120802,2502,2.1,59.9,1.57,3.0866
"Papua New Guinea",NA,35.51,9.25,1.22,0.26,0.1,1.57,3649,4763,-1114,-5.1,NA,NA,3.019e+10,NA,NA,NA,75.4125416278839,2.46927607804537,8.99854451417923,40,46,565,7,1.2,0.08,0.05,0.2253
"Paraguay",0.8,9.66,1.73,2.06,0.12,0.25,2.43,5366,5876,-510,-1.8,0.562,0.724,8.891e+10,10,"10","10",45.4697281122208,6.65456876158714,44.1762536764145,69,173,50344,1096,2.2,15.76,1.37,0.7387
"Peru",1.6,NA,NA,NA,NA,NA,NA,59660,65480,-5820,-2.8,0.612,0.759,4.303e+11,30,"30","16",63.351708650589,4.99515049159527,28.1882584095001,77,211,851171,33357,3.9,104.28,1.3,2.213
"Philippines",1,NA,NA,1.48,0.22,0.12,1.81,44740,53550,-8810,-2.7,0.582,0.712,8.772e+11,30,"35","12",31.9104731082916,4.44640778005123,53.045779466629,61,42,342816,6332,1.8,5.94,0.6,5.2744
"Poland",6.6,NA,NA,0.18,0.61,0.15,0.94,90800,102200,-11400,-2.2,0.801,0.872,1.126e+12,19,"32","23",68.9672648906708,6.5419539809227,23.0497926473618,75,625,130210,3039,2.3,8,2.38,5.7029
"Portugal",3.4,3.08,0.18,NA,NA,NA,NA,92990,96830,-3840,-1.8,0.742,0.85,3.141e+11,21,"48","23",66.2546098232269,8.96957442164421,27.5320798158646,82,1354,87913,2094,2.4,20.37,5.12,6.9746
"Romania",6.9,0.02,0.06,0.42,0.5,0.75,1.68,58500,65540,-7040,-3.4,0.725,0.816,4.834e+11,16,"10","19",78.587794303894,5.15788830816746,20.4880461096764,74,436,157352,5467,3.5,28.07,2.98,7.3891
"Russia",8.1,NA,NA,NA,NA,NA,NA,253900,287500,-33600,-2.3,0.743,0.824,4.016e+12,20,"47","20",57.0887506008148,5.34457787871361,40.4930830001831,74,334,1305093,22594,1.7,15.64,4.01,8.5429
"Rwanda",NA,NA,NA,NA,NA,NA,NA,1874,2255,-381,-4.3,0.382,0.536,2.468e+10,30,"30","18",34.3314200639725,6.57159835100174,6.24799951910973,57,17,4905,32,0.7,0.26,0.14,1.1229
"Saint Lucia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.64,3.1547
"Saint Vincent and the Grenadines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.66,6.3115
"Sao Tome and Principe",2.9,14.51,2.07,0,NA,NA,NA,114,123,-7,-2.5,0.507,0.609,6.86e+08,NA,NA,NA,45.6029891967773,6.22999146580696,13.7765601277351,55,55,929,15,1.6,7.11,0.05,0.0097
"Saudi Arabia",2.2,0,0,0.21,0.82,0.01,1.04,260000,294933,-34933,NA,NA,NA,1.775e+12,15,"2.5","15",64.0870332717896,5.23025318980217,16.8597862124443,74,778,339615,5068,1.5,15.04,2.54,5.4627
"Senegal",0.3,6.87,0.54,0.16,NA,NA,0.16,3863,4474,-611,-3.8,0.347,0.514,5.48e+10,25,"50","20",20.978632569313,4.13406379520893,52.3998200893402,45,12,15292,315,2.1,1.99,0.07,0.3127
"Singapore",2.5,59.22,NA,NA,0.5,NA,0.5,53400,56490,-3090,-1,0.81,0.935,5.281e+11,17,"22","7",48.2043623924255,4.44038286805153,32.1252405643463,86,1262,57880,28,0,0.5,2.29,6.2432
"Slovakia",5.8,0.29,NA,0.11,0.48,0.95,1.54,37090,38520,-1430,-1.5,0.804,0.857,1.797e+11,22,"25","20",79.1036665439606,6.74253478646278,18.7131851911545,77,1089,20355,61,0.3,1.12,3.42,0.3187
"Slovenia",4.5,4.01,2.75,0.68,0.48,0.1,1.25,20200,20970,-770,-1.6,0.858,0.902,7.123e+10,19,"50","22",71.8181788921356,8.18701758980751,12.3281687498093,79,1530,8832,169,1.9,8.17,3.09,9.9745
"South Africa",2.3,5.88,0.55,0.53,0.12,0.03,0.67,92380,103300,-10920,-3.2,0.463,0.705,7.672e+11,28,"45","15",53.6510050296783,8.11311826109886,7.7669233083725,69,268,693359,17863,2.6,30.92,0.91,1.3078
