"Country","Revenue","Expenditure","Surplus","SurplusPercent","ihdi","hdi","pbi","CorporatePercent","IncomeHighPercent","VATpercent"
"Mongolia",2623,3711,-1088,-10,0.635,0.735,4.354e+10,"10","10","10"
"Montenegro",1620,1950,-330,-7.5,0.746,0.816,1.108e+10,"9","12.65","21"
"Montserrat",37,37,0,NA,NA,NA,167400000,NA,NA,NA
"Morocco",26630,30710,-4080,-3.7,NA,NA,2.986e+11,"31","38","20"
"Mozambique",2758,3607,-849,-6.9,0.309,0.446,3.709e+10,NA,NA,NA
"Myanmar",NA,NA,NA,NA,0.448,0.584,NA,NA,NA,NA
"Namibia",3967,4759,-792,-6.3,0.418,0.645,2.66e+10,"32","37","15"
"Nauru",58,52,6,NA,NA,NA,1.6e+08,NA,NA,NA
"Nepal",6993,8833,-1840,NA,0.43,0.579,7.919e+10,"30","36","13"
"Netherlands",344800,340200,4600,0.6,0.87,0.933,9.244e+11,"25","49.50","21"
"New Caledonia",996,1072,-76,NA,NA,NA,1.111e+10,"30","40",NA
"New Zealand",73200,71900,1300,0.7,0.836,0.921,1.89e+11,"28","33","15"
"Nicaragua",3800,4074,-274,-2,0.501,0.651,3.64e+10,NA,NA,NA
"Niger",1680,2235,-555,-6,0.272,0.377,2.186e+10,NA,NA,NA
"Nigeria",13970,22150,-8180,-2.1,0.349,0.534,1.121e+12,"30","24","7.5"
"Niue",15,16,-1,NA,NA,NA,10010000,NA,NA,"12.5"
"Norfolk Island",5,5,0,NA,NA,NA,NA,NA,NA,NA
"North Korea",3200,3300,-100,NA,NA,NA,4e+10,"25","20","4"
"North Macedonia",3314,3655,-341,-3,0.66,0.759,NA,"10","18","18"
"Northern Mariana Islands",246,250,-3,NA,NA,NA,1.242e+09,NA,NA,NA
"Norway",214300,198000,16300,4.2,0.889,0.954,3.812e+11,"23","23","25"
"Oman",22680,32070,-9390,-13,0.732,0.834,1.901e+11,"15","0","0"
"Pakistan",45640,59280,-13640,-4.5,0.386,0.56,1.061e+12,"31","31","17"
"Palau",124,98,26,NA,NA,NA,2.64e+08,NA,NA,NA
"Palestine",2750,4077,-1327,-9.9,0.597,0.69,NA,"15","15","14.5"
"Panama",12600,13560,-960,-1.6,0.626,0.795,1.041e+11,"25","27","7"
"Papua New Guinea",3649,4763,-1114,-5.1,NA,NA,3.019e+10,NA,NA,NA
"Paraguay",5366,5876,-510,-1.8,0.562,0.724,8.891e+10,"10","10","10"
"Peru",59660,65480,-5820,-2.8,0.612,0.759,4.303e+11,"30","30","16"
"Philippines",44740,53550,-8810,-2.7,0.582,0.712,8.772e+11,"30","35","12"
"Pitcairn Islands",1,1,0,NA,NA,NA,NA,NA,NA,NA
"Poland",90800,102200,-11400,-2.2,0.801,0.872,1.126e+12,"19","32","23"
"Portugal",92990,96830,-3840,-1.8,0.742,0.85,3.141e+11,"21","48","23"
"Puerto Rico",9268,9974,-706,-0.7,NA,NA,1.3e+11,"20","33.34","11.5"
